id;transport_no;regs_no;type
1;hack;magenta Avon;Garbage_Truck
2;dynamic;violet throughput;Other
3;Practical robust;Arkansas convergence Avon;Garbage_Truck
4;wireless;Account Chair Licensed;Other
5;Monitored Pakistan morph;Florida;Garbage_Truck
6;Lead;Licensed technologies background;Other
7;Bedfordshire array;Bacon;Garbage_Truck
8;generate Rubber groupware;Colombian blockchains Oregon;Garbage_Truck
9;Frozen Creative;Small one-to-one;Garbage_Truck
10;Synergistic Nevada;Frozen copy National;Garbage_Truck
